Venta_ID,Fecha_facturacion,Año,Mes,MesNombre,Total_ventas,Ganancia,Margen,Unidades_vendidas,Precio_unitario,Minorista_ID,Ciudad_ID,Cat_Producto_ID,Metodo_venta_ID,Minorista,Minorista_Codigo,Ciudad_ID_minorista,Ciudad,Estado_ID,Region_ID,Estado,Region,Metodo_venta,Cat_Producto
1,2020-01-01,2020,1,2020-01,600000.0,300000.0,0.5,1200,50.0,1,1,1,1,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,In-store,Men's Street Footwear
2,2020-01-02,2020,1,2020-01,500000.0,150000.0,0.3,1000,50.0,1,1,2,1,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,In-store,Men's Athletic Footwear
3,2020-01-03,2020,1,2020-01,400000.0,140000.0,0.35,1000,40.0,1,1,3,1,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,In-store,Women's Street Footwear
4,2020-01-04,2020,1,2020-01,382500.0,133875.0,0.35,850,45.0,1,1,4,1,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,In-store,Women's Athletic Footwear
5,2020-01-05,2020,1,2020-01,540000.0,162000.0,0.3,900,60.0,1,1,5,1,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,In-store,Men's Apparel
6,2020-01-06,2020,1,2020-01,500000.0,125000.0,0.25,1000,50.0,1,1,6,1,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,In-store,Women's Apparel
7,2020-01-07,2020,1,2020-01,625000.0,312500.0,0.5,1250,50.0,1,1,1,1,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,In-store,Men's Street Footwear
8,2020-01-08,2020,1,2020-01,450000.0,135000.0,0.3,900,50.0,1,1,2,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Men's Athletic Footwear
9,2020-01-21,2020,1,2020-01,380000.0,133000.0,0.35,950,40.0,1,1,3,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Street Footwear
10,2020-01-22,2020,1,2020-01,371250.0,129937.49999999999,0.35,825,45.0,1,1,4,2,Foot Locker,1185732,1,"New York, Estados Unidos",32,1,New York,Northeast,Outlet,Women's Athletic Footwear
